Database|Reference|Continent|Sample_ID|Sample_Type|Method|Provenance|Age_Method|Age|Discordance|Hf|Lu|Hf176_Hf177|Hf176_Hf177_2sigma|Lu176_Hf177|Lu176_Hf177_2sigma|Hf176_Hf177_initial|eHf_now|eHf_initial
UCLA|Belousova et al 2010|Australia|12943|Detrital zircon|LA-MC-ICP-MS|||491.243651566|1.212131085|1.4144533141|NaN|0.282293|0.000013|0.00112567|NaN|0.2822826284|NaN|-6.4955243351
UCLA|Belousova et al 2010|S.America|10189|Detrital zircon|LA-MC-ICP-MS|||1186.1020778619|1.2125483794|0.0660761021|NaN|0.282239|0.000011|0.00130645|NaN|0.2822097466|NaN|6.422950158
UCLA|Belousova et al 2010|Asia|1694|Detrital zircon|LA-MC-ICP-MS|||15.5171674935|1.2129627708|0.8095538102|NaN|0.2829|0.0000085|0.000708268|NaN|0.2828997948|NaN|4.859712861
UCLA|Belousova et al 2010|Asia|1819|Detrital zircon|LA-MC-ICP-MS|||176.2627325815|1.2135415834|0.9383045555|NaN|0.282991|0.000018|0.00274512|NaN|0.2829819514|NaN|11.29922438
UCLA|Harrison et al 2008|Australia (Jack Hills)|ANU125-11.10|Detrital zircon|LA-MC-ICP-MS|Yilgarn|U-Pb zircon|4100|1.2137087516|NaN|NaN|0.2799881325|0.00002356|0.0003976368|0.0000120809436508|0.2799564993|-98.9043805036|-5.552147026
UCLA|Belousova et al 2010|Asia|9140|Detrital zircon|LA-MC-ICP-MS|||291.950384907|1.2150293653|0.5536949395|NaN|0.282866|0.0000063|0.000450349|NaN|0.2828635386|NaN|9.6604916272
UCLA|Belousova et al 2010|Europe|1391|Detrital zircon|LA-MC-ICP-MS|||1641.2831323185|1.2169974587|0.0621469875|NaN|0.28188|0.000011|0.000329296|NaN|0.2818697533|NaN|4.6440249054
UCLA|Belousova et al 2010|S.America|10178|Detrital zircon|LA-MC-ICP-MS|||1083.171060096|1.2179472372|0.0687236165|NaN|0.28232|0.000011|0.000550494|NaN|0.2823087541|NaN|7.6210823215
UCLA|Belousova et al 2010|Asia|2899|Detrital zircon|LA-MC-ICP-MS|||1644.956403268|1.2182300266|0.6332762288|NaN|0.281754|0.0000084|0.000407421|NaN|0.2817412934|NaN|0.1678235969
UCLA|Guitreau et al. 2012|Canada (Acasta)|AG09032_4|Igneous zircon|LA-MC-ICP-MS|||3594.3184760453|1.2185738924|NaN|NaN|0.2804436827|0.0000301507771791|0.0008121045|0.0000432548365279|0.2803873156|-82.7949593394|-2.3373055483
