Database|Continent|Reference|Sample_ID|Age|d18O|d18O_2sigma|Lu176_Hf177|Hf176_Hf177|Hf176_Hf177_2sigma|eHf_initial|eHf_initial_2sigma|Tdm
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _7|3147|5.2|0.5|0.00062|0.280778|0.000028|-0.4|1.0|3436
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _65|3258|6.1|0.6|0.00088|0.280734|0.000028|0.0|1.0|3498
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _64|3152|5.7|0.4|0.00078|0.280760|0.000020|-1.3|0.7|3492
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _70|3143|4.5|0.5|0.00062|0.280772|0.000022|-0.7|0.8|3450
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _11|3151|5.5|0.6|0.00153|0.280832|0.000024|-0.3|0.9|3435
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _14|3157|5.8|0.5|0.00062|0.280744|0.000028|-1.4|1.0|3503
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _15|3242|5.3|0.5|0.00052|0.280725|0.000016|0.1|0.6|3478
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _19|3167|5.5|0.6|0.00084|0.280795|0.000022|0.2|0.8|3415
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _22|3150|5.7|0.4|0.00098|0.280793|0.000022|-0.6|0.8|3448
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _27|2835|4.5|0.5|0.00129|0.281128|0.000018|3.5|0.6|2937
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _25|3169|5.6|0.5|0.00061|0.280764|0.000016|-0.4|0.6|3452
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _24|3164|5.2|0.4|0.00101|0.280805|0.000040|0.1|1.4|3417
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _30|3161|5.2|0.5|0.00050|0.280768|0.000020|-0.2|0.7|3432
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _28|3164|5.4|0.6|0.00061|0.280791|0.000016|0.5|0.6|3394
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _34|3250|5.3|0.5|0.00101|0.280746|0.000022|0.0|0.8|3495
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _35|3158|5.0|0.5|0.00053|0.280770|0.000020|-0.3|0.7|3435
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _38|3259|5.1|0.5|0.00069|0.280732|0.000020|0.4|0.7|3476
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _40|3248|5.4|0.5|0.00112|0.280738|0.000024|-0.6|0.9|3529
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _43|3162|5.8|0.5|0.00114|0.280813|0.000024|0.1|0.9|3417
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _46|3144|5.7|0.5|0.00159|0.280849|0.000028|0.0|1.0|3409
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _47|3149|4.9|0.5|0.00096|0.280778|0.000024|-1.1|0.9|3479
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _50|3166|5.4|0.5|0.00101|0.280815|0.000044|0.5|1.6|3394
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _51|3162|5.8|0.5|0.00058|0.280754|0.000024|-0.8|0.9|3473
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _58|3170|5.5|0.5|0.00140|0.280816|0.000022|-0.2|0.8|3441
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _57|3169|5.6|0.5|0.00086|0.280791|0.000024|0.1|0.9|3424
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _59|3158|6.0|0.5|0.00122|0.280822|0.000020|0.1|0.7|3411
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _56|3154|5.8|0.5|0.00095|0.280778|0.000024|-1.0|0.9|3474
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _1|3145|6.8|0.6|0.00054|0.280771|0.000022|-0.5|0.8|3440
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _3|3163|6.8|0.4|0.00102|0.280773|0.000022|-1.1|0.8|3489
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _4|3167|6.9|0.4|0.00048|0.280763|0.000030|-0.2|1.1|3437
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _41|3251|7.9|0.5|0.00071|0.280752|0.000022|0.9|0.8|3439
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Loop _37|3155|4.5|0.5|0.00102|0.280781|0.000024|-0.9|0.9|3475
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Point _45|2948|4.5|0.5|0.00103|0.280890|0.000030|-1.8|1.1|3363
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Point _56|3139|5.5|0.5|0.00073|0.280790|0.000018|-0.4|0.6|3429
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Point _41|3207|5.5|0.5|0.00058|0.280725|0.000026|-0.8|0.9|3509
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Point _36|3162|4.9|0.6|0.00082|0.280793|0.000020|0.1|0.7|3419
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Point _9|3150|4.7|0.6|0.00128|0.280814|0.000024|-0.5|0.9|3441
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Point _35|3152|4.7|0.4|0.00123|0.280819|0.000024|-0.1|0.9|3422
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Point _75|3161|4.7|0.5|0.00089|0.280763|0.000020|-1.2|0.7|3495
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Point _1|3149|5.3|0.6|0.00093|0.280783|0.000022|-0.9|0.8|3465
Dhuime et al., 2012 Science|North America|Pietranik et al. 2008, Geology 36|Point _15|3172|3.9|0.5|0.00108|0.280833|0.000076|1.2|2.7|3359
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-20.1|716|7.5|0.6|0.00150|0.282163|0.000027|-6.7|1.0|1878
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-30.1|741|6.0|0.6|0.00161|0.282304|0.000033|-1.3|1.2|1547
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-48.1|744|9.1|0.6|0.00145|0.282000|0.000030|-11.9|1.0|2230
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-61.1|753|7.0|0.6|0.00087|0.282146|0.000020|-6.2|0.7|1874
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-42.1|755|8.1|0.6|0.00171|0.282118|0.000025|-7.6|0.9|1963
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-41.1|759|9.1|0.6|0.00125|0.281997|0.000030|-11.6|1.1|2221
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-28.1|760|9.5|0.7|0.00153|0.282114|0.000025|-7.5|0.9|1964
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-35.1|762|7.5|0.7|0.00133|0.282061|0.000017|-9.3|0.6|2077
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-34.1|763|6.9|0.6|0.00082|0.281612|0.000022|-24.9|0.8|3064
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-49.1|766|7.6|0.7|0.00153|0.281914|0.000023|-14.5|0.8|2413
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-69.1|793|7.6|0.7|0.00132|0.282141|0.000038|-5.7|1.4|1876
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-11.1|797|7.4|0.6|0.00138|0.282011|0.000019|-10.3|0.7|2171
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-58.1|830|8.2|1.0|0.00094|0.281633|0.000033|-22.7|1.2|2982
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-22.1|832|7.9|0.7|0.00148|0.281979|0.000027|-10.8|1.0|2227
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-54.1|836|5.4|0.6|0.00079|0.281697|0.000019|-20.3|0.7|2831
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-10.1|910|8.4|0.6|0.00060|0.282114|0.000027|-3.7|1.0|1841
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-45.1|999|7.9|0.7|0.00250|0.282095|0.000052|-3.7|1.8|1911
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-21|1096|4.1|0.4|0.00126|0.282360|0.000020|8.6|0.7|1195
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-13|1135|8.2|0.4|0.00134|0.282181|0.000022|3.1|0.8|1586
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-44|1151|7.5|0.4|0.00091|0.282131|0.000016|2.0|0.6|1667
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-60|1183|6.3|0.4|0.00088|0.281762|0.000015|-10.4|0.5|2482
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-23|1197|9.5|0.4|0.00076|0.282128|0.000017|3.0|0.6|1637
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-50|1244|8.0|0.4|0.00131|0.282034|0.000028|0.3|1.0|1853
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-1|1248|6.6|0.4|0.00038|0.282108|0.000017|3.8|0.6|1633
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-37|1254|5.4|0.4|0.00084|0.281360|0.000028|-23.0|1.0|3330
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-67|1415|4.8|0.4|0.00093|0.281645|0.000026|-9.4|0.9|2607
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-18|1458|5.5|0.4|0.00093|0.282107|0.000027|7.9|1.0|1535
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-2|1513|6.0|0.4|0.00056|0.281829|0.000016|-0.3|0.6|2108
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG_P-3|1537|4.0|0.4|0.00081|0.281919|0.000018|3.1|0.6|1906
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-43|512|9.2|0.3|0.00153|0.282483|0.000029|0.2|1.0|1267
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-34|520|10.6|0.3|0.00174|0.282469|0.000034|-0.2|1.2|1298
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-35|523|9.3|0.3|0.00175|0.282348|0.000025|-4.4|0.9|1574
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-31|530|10.0|0.3|0.00113|0.282462|0.000028|0.0|1.0|1297
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-10|534|8.9|0.3|0.00069|0.282237|0.000025|-7.7|0.9|1797
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-20|539|7.7|0.3|0.00102|0.282210|0.000024|-8.7|0.9|1864
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-18|544|8.6|0.3|0.00191|0.282403|0.000031|-2.1|1.1|1442
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-68|544|10.1|0.3|0.00133|0.282414|0.000020|-1.5|0.7|1401
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-36|551|9.2|0.3|0.00066|0.282373|0.000021|-2.5|0.8|1476
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-1|570|9.0|0.3|0.00143|0.282282|0.000021|-5.6|0.7|1691
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-17|580|8.8|0.3|0.00237|0.282238|0.000030|-7.3|1.0|1808
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-51|595|7.6|0.3|0.00103|0.282578|0.000025|5.6|0.9|986
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-28|609|7.3|0.3|0.00122|0.282506|0.000031|3.2|1.1|1151
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-9|615|6.8|0.3|0.00065|0.282456|0.000016|1.8|0.6|1247
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-50|629|7.0|0.3|0.00077|0.282411|0.000021|0.5|0.7|1342
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-24|632|6.9|0.3|0.00049|0.282207|0.000019|-6.5|0.7|1799
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-42|640|7.2|0.3|0.00060|0.282385|0.000019|-0.1|0.7|1391
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-61|642|8.0|0.3|0.00143|0.281996|0.000018|-14.2|0.6|2295
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-41|650|8.2|0.3|0.00066|0.282265|0.000022|-4.2|0.8|1661
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-7|661|4.1|0.3|0.00149|0.282515|0.000028|4.6|1.0|1105
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-60|675|4.7|0.3|0.00126|0.282534|0.000020|5.6|0.7|1048
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-26|1018|6.8|0.3|0.00058|0.282313|0.000016|5.7|0.6|1318
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-4|1037|6.8|0.3|0.00061|0.282307|0.000026|5.9|0.9|1321
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-67|1087|5.5|0.3|0.00098|0.282437|0.000017|11.4|0.6|1087
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-47|1100|10.3|0.3|0.00147|0.282270|0.000022|5.4|0.8|1408
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-54|2043|6.1|0.3|0.00139|0.281651|0.000019|4.2|0.7|2249
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-38|2073|6.8|0.3|0.00137|0.281723|0.000031|7.5|1.1|2073
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-66|2077|8.0|0.3|0.00104|0.281563|0.000015|2.3|0.5|2398
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-45|2144|10.1|0.3|0.00014|0.281405|0.000015|-0.5|0.5|2629
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-13|2148|5.6|0.3|0.00049|0.281358|0.000015|-2.6|0.5|2763
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-44|2153|6.4|0.3|0.00076|0.281631|0.000018|6.8|0.6|2172
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-56|2155|5.9|0.3|0.00072|0.281650|0.000018|7.6|0.6|2155
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-22|2163|7.8|0.3|0.00097|0.281504|0.000016|2.2|0.6|2471
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-233_33-70|2203|3.8|0.3|0.00054|0.281330|0.000017|-2.4|0.6|2794
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-47|735|7.3|0.3|0.00189|0.282123|0.000026|-7.9|0.9|1971
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-26|767|7.9|0.3|0.00154|0.282432|0.000035|3.9|1.3|1235
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-63|768|8.9|0.3|0.00115|0.281922|0.000018|-14.0|0.6|2380
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-33|777|8.9|0.3|0.00145|0.281985|0.000021|-11.7|0.8|2243
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-30|777|8.6|0.3|0.00095|0.281989|0.000018|-11.3|0.6|2218
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-22|779|5.0|0.3|0.00173|0.282231|0.000034|-3.1|1.2|1694
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-18|787|7.7|0.3|0.00144|0.282014|0.000045|-10.4|1.6|2172
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-58|796|8.3|0.3|0.00101|0.282005|0.000012|-10.3|0.4|2171
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-24|806|8.3|0.3|0.00097|0.282014|0.000016|-9.8|0.6|2146
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-57|818|8.2|0.3|0.00117|0.281825|0.000030|-16.3|1.1|2568
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-66|937|10.0|0.3|0.00140|0.282208|0.000029|-0.3|1.0|1644
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-64|986|5.1|0.3|0.00413|0.282333|0.000027|3.4|1.0|1443
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-39|1030|4.3|0.3|0.00518|0.282657|0.000039|15.0|1.4|1030
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-15|1032|8.8|0.3|0.00138|0.282231|0.000019|2.6|0.7|1534
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-5|1139|7.1|0.3|0.00042|0.281889|0.000022|-6.5|0.8|2200
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-56|1204|7.0|0.3|0.00072|0.282149|0.000016|4.0|0.6|1584
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-36|1223|7.1|0.3|0.00114|0.282206|0.000026|6.1|0.9|1464
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-45|1252|5.3|0.3|0.00090|0.281946|0.000019|-2.3|0.7|2026
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-54|1284|5.5|0.3|0.00089|0.281850|0.000016|-5.0|0.6|2222
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-37|1333|7.1|0.3|0.00079|0.282006|0.000020|1.7|0.7|1834
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-19|1385|5.9|0.3|0.00145|0.282098|0.000028|5.5|1.0|1632
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-12|1453|7.1|0.3|0.00065|0.281733|0.000018|-5.2|0.6|2368
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-27|1530|5.1|0.3|0.00095|0.281851|0.000018|0.4|0.6|2074
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-50|1851|7.6|0.3|0.00140|0.282204|0.000031|19.6|1.1|1851
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-60|1989|6.9|0.3|0.00090|0.281471|0.000021|-2.7|0.8|2645
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-43|2032|8.4|0.3|0.00075|0.281580|0.000018|2.3|0.6|2360
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-42|2156|5.6|0.3|0.00084|0.281156|0.000026|-10.1|0.9|3239
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-55|2171|7.5|0.3|0.00068|0.281376|0.000017|-1.7|0.6|2724
Dhuime et al., 2012 Science|South America|Rapela et al. 2011, Gondwana Res. 20|PMOG-441_41-35|2202|5.4|0.3|0.00041|0.281410|0.000016|0.6|0.6|2604
