Database|Continent|Reference|Sample_ID|Age|Lu176_Hf177|Hf176_Hf177|Hf176_Hf177_2sigma|eHf_initial|eHf_initial_2sigma|Tdm
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-16|1159|0.00158|0.282203|0.000044|4.2|1.6|1532
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-26|1768|0.00055|0.281714|0.00003|1.3|1.1|2208
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-27|1732|0.00111|0.281641|0.000038|-2.7|1.3|2436
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-28|1738|0.00343|0.28189|0.000042|3.5|1.5|2044
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-30|1235|0.00359|0.281508|0.000034|-20.5|1.3|3157
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-32|1402|0.00098|0.282173|0.00003|9|1.1|1422
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-33|1778|0.00237|0.281888|0.000044|5.6|1.6|1947
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-34|2035|0.00076|0.281232|0.000034|-10|1.2|3136
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-36|1846|0.00133|0.281683|0.000034|1.1|1.2|2290
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-38|1638|0.00105|0.281859|0.00003|3|1.1|1996
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-39|2078|0.00034|0.281266|0.000028|-7.2|1|2998
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-41|1077|0.00108|0.282235|0.000042|3.9|1.5|1484
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-44|2878|0.00142|0.280916|0.000034|-3.3|1.2|3396
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-46|1771|0.00106|0.2817|0.000028|0.3|1|2275
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-5|1789|0.0006|0.281577|0.000056|-3.1|2|2506
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-50|1868|0.00036|0.281576|0.000026|-1|0.9|2440
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-52|2016|0.00096|0.281448|0.000028|-3|1|2684
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-54|1625|0.00057|0.2817|0.00004|-2.4|1.4|2330
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-55|1768|0.00073|0.281597|0.00004|-3|1.4|2484
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-58|2874|0.00017|0.280682|0.000044|-9.3|1.6|3761
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-59|1674|0.00214|0.281983|0.000052|7|1.8|1772
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-63|2140|0.00072|0.281493|0.000042|1.7|1.5|2485
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-70|1595|0.00098|0.281825|0.000042|0.9|1.5|2095
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-71C|3179|0.00081|0.280612|0.00004|-6|1.4|3805
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-74|1982|0.00035|0.281291|0.000034|-8.6|1.2|3004
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|EGC06-84|2249|0.00128|0.281261|0.000048|-4.9|1.7|2990
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-01|2293|0.00013|0.28121|0.000012|-3.9|0.4|2965
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-04|2427|0.00012|0.281217|0.000016|-0.6|0.6|2862
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-05|1057|0.00035|0.282191|0.000026|2.4|0.9|1563
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-06|2440|0.00238|0.281253|0.00002|-2.7|0.7|3007
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-07|2444|0.00028|0.281203|0.000018|-0.9|0.6|2899
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-08|2409|0.00052|0.281239|0.000017|-0.9|0.6|2865
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-09|1143|0.00048|0.282093|0.000018|0.8|0.6|1738
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-10|1186|0.00061|0.281989|0.00002|-2|0.7|1954
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-14|2464|0.00009|0.281195|0.000018|-0.4|0.6|2884
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-19|2450|0.00028|0.28123|0.000017|0.2|0.6|2835
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-20|2454|0.00062|0.281202|0.00002|-1.3|0.7|2930
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-21|1305|0.00087|0.282252|0.000028|9.7|1|1305
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-29|1196|0.00046|0.282063|0.00002|0.9|0.7|1772
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-32|1173|0.00069|0.282198|0.000022|5|0.8|1490
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-33|2450|0.00003|0.281185|0.00002|-1|0.7|2909
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-35|1070|0.00078|0.282176|0.00002|1.9|0.7|1609
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-36|1160|0.00056|0.282146|0.00002|3|0.7|1611
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-48|1133|0.00028|0.282276|0.000024|7.2|0.9|1317
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-49|1258|0.00054|0.28204|0.000022|1.4|0.8|1789
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-51|2507|0.00049|0.28122|0.000015|0.8|0.5|2843
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-61|617|0.00086|0.282447|0.000011|1.5|0.4|1271
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-62|2460|0.00152|0.281196|0.000016|-2.9|0.6|3034
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-67|1685|0.00046|0.281847|0.000018|4.3|0.6|1953
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-74|2502|0.00088|0.281231|0.000011|0.4|0.4|2863
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-76|102|0.00196|0.28295|0.000026|8|0.9|429
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-77|2427|0.00009|0.281166|0.000016|-2.3|0.6|2973
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-79|686|0.00077|0.28239|0.000026|1|0.9|1356
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-80|2441|0.00034|0.281244|0.000024|0.3|0.9|2816
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-82|1846|0.00083|0.281557|0.000014|-2.8|0.5|2534
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-83|2098|0.00089|0.28123|0.00002|-8.8|0.7|3114
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-86|2476|0.00077|0.281115|0.000024|-4.2|0.9|3125
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-87|2413|0.00044|0.281197|0.000014|-2.1|0.5|2948
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Kingoonya West-94|2483|0.00074|0.281223|0.000022|-0.1|0.8|2878
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-01|2414|0.00064|0.281257|0.000017|-0.3|0.6|2835
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-03|1149|0.00045|0.282144|0.000018|2.8|0.6|1617
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-04|1081|0.00078|0.282141|0.000018|0.9|0.6|1682
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-05|1092|0.00036|0.28213|0.000024|1|0.9|1681
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-06C|2458|0.00035|0.281289|0.00003|2.3|1.1|2705
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-07|1199|0.00114|0.282035|0.00003|-0.5|1.1|1868
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-08|1719|0.00123|0.281571|0.000017|-5.6|0.6|2609
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-09|2675|0.00075|0.281186|0.000018|3|0.6|2842
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-10|1848|0.00153|0.281621|0.000015|-1.4|0.6|2444
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-11|1727|0.00108|0.281636|0.000034|-3|1.2|2448
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-12|2389|0.00008|0.281229|0.000014|-1|0.5|2856
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-13|1023|0.0006|0.282139|0.000019|-0.3|0.7|1714
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-14|1719|0.00137|0.281569|0.000032|-5.8|1.1|2623
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-15|1212|0.0004|0.281805|0.000017|-7.8|0.6|2342
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-16|2345|0.00048|0.281301|0.000028|-0.1|1|2764
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-17|1241|0.00077|0.28216|0.000022|5.1|0.8|1539
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-18|1107|0.00061|0.282171|0.000026|2.7|0.9|1589
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-19|2385|0.00044|0.281218|0.000026|-2|0.9|2920
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-20|1719|0.00065|0.28148|0.000019|-8.2|0.7|2770
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-26|1694|0.00142|0.281617|0.000018|-4.8|0.6|2535
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-27|2415|0.00007|0.281192|0.00001|-1.7|0.4|2920
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-28|1787|0.00133|0.281563|0.00002|-4.5|0.7|2594
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-29|2409|0.00023|0.281221|0.000019|-1|0.7|2876
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-30|1164|0.00061|0.282124|0.000016|2.3|0.6|1661
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-31|2354|0.00006|0.281198|0.000018|-2.8|0.6|2946
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-33|1674|0.00139|0.281592|0.000016|-6|0.6|2600
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-35|2262|0.00028|0.28125|0.000017|-3.5|0.6|2911
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-36|1705|0.0005|0.281749|0.00002|1.2|0.7|2165
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-40|1797|0.00055|0.281565|0.000022|-3.3|0.8|2524
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-43|1717|0.00111|0.281499|0.00004|-8.1|1.4|2762
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-44|550|0.00029|0.281742|0.000016|-24.8|0.6|2891
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-45|1758|0.00071|0.281731|0.00002|1.5|0.7|2188
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-46|2376|0.00023|0.281212|0.000016|-2.1|0.6|2917
Dhuime et al., 2012 Science|Australia|Belousova et al. 2006, AJES 53|Lake Ifould-47|2463|0.00062|0.281276|0.00002|1.5|0.7|2760
