Database|Continent|Reference|Sample_ID|Age|Lu176_Hf177|Hf176_Hf177|Hf176_Hf177_2sigma|eHf_initial|eHf_initial_2sigma|Tdm
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-01|746|0.00116|0.282428|0.000039|3.5|1.4|1244
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-02|345|0.00123|0.282924|0.000031|12.3|1.1|345
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-03|248|0.00054|0.282925|0.00003|10.4|1.1|388
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-04|3135|0.00077|0.280755|0.00005|-1.8|1.8|3513
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-05a|555|0.00036|0.28223|0.000044|-7.4|1.5|1792
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-05b|566|0.00043|0.28225|0.000031|-6.5|1.1|1741
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-06|562|0.00033|0.282143|0.000026|-10.3|0.9|1985
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-07|25|0.00301|0.282791|0.000054|0.7|1.9|844
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-08|431|0.0011|0.282399|0.000032|-4.4|1.1|1499
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-09|236|0.00064|0.282626|0.000036|-0.5|1.3|1089
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-10a|609|0.00057|0.282427|0.000041|0.7|1.5|1314
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-10b|620|0.00048|0.282446|0.000026|1.6|0.9|1262
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-12|241|0.00128|0.282839|0.000034|7.1|1.2|602
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-13|538|0.00044|0.282483|0.000028|1.1|1|1228
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-14|243|0.00105|0.282807|0.000036|6|1.3|673
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-15|349|0.00089|0.282799|0.000037|8.1|1.3|623
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-16|489|0.00034|0.281168|0.000028|-46.5|1|4191
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-17|468|0.00112|0.282404|0.000044|-3.4|1.6|1466
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-18|309|0.00115|0.282672|0.000043|2.6|1.5|946
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-19a|565|0.00076|0.282343|0.000036|-3.3|1.3|1537
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-19b|173|0.00052|0.282454|0.000038|-7.9|1.3|1523
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-20a|676|0.00104|0.282456|0.000042|3|1.5|1218
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-20b|701|0.00031|0.282455|0.000048|3.8|1.7|1184
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-21|556|0.00011|0.282174|0.000024|-9.3|0.9|1913
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-22|320|0.00132|0.282613|0.000026|0.8|0.9|1077
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-23|247|0.00126|0.282774|0.00003|4.9|1.1|748
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-24|512|0.00004|0.282415|0.000025|-1.7|0.9|1390
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-25|527|0.00114|0.282368|0.000026|-3.4|0.9|1513
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-26|532|0.00108|0.282245|0.000038|-7.6|1.4|1789
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-27|232|0.00069|0.282758|0.000027|4.1|1|789
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-28|522|0.00007|0.282655|0.000022|7|0.8|831
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-29|576|0.00042|0.282451|0.000027|0.9|0.9|1275
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-30|1023|0.00094|0.282225|0.000032|2.5|1.1|1534
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-31|542|0.00104|0.282431|0.000025|-0.8|0.9|1357
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-32|518|0.00005|0.28243|0.000018|-1|0.6|1351
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-33|543|0.00003|0.282424|0.000025|-0.7|0.9|1351
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-34|563|0.00093|0.282427|0.000026|-0.4|0.9|1350
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-35|538|0.0002|0.281776|0.000029|-23.8|1|2821
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-36|602|0.00003|0.282259|0.000022|-5.2|0.8|1689
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-37|492|0.00004|0.282365|0.000024|-3.9|0.8|1518
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-38|556|0.00037|0.281667|0.000029|-27.3|1|3056
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-39|561|0.00027|0.282435|0.000043|0|1.5|1320
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-40|528|0.00019|0.282385|0.000033|-2.5|1.2|1453
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-41|586|0.00007|0.282355|0.000024|-2.2|0.8|1480
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-42|996|0.00112|0.282157|0.000035|-0.7|1.2|1713
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-43|2032|0.0003|0.281366|0.00003|-4.7|1.1|2802
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-44|553|0.00041|0.282459|0.000023|0.6|0.8|1272
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-45|540|0.00006|0.282203|0.000031|-8.6|1.1|1855
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-46|523|0.0008|0.2825|0.000026|1.3|0.9|1205
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-47|562|0.00026|0.282623|0.00003|6.7|1|884
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-48a|241|0.00158|0.282796|0.000045|5.5|1.6|704
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-48b|247|0.00108|0.2828|0.000034|5.9|1.2|685
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-49|624|0.00062|0.282394|0.000037|-0.1|1.3|1381
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-50|538|0.00004|0.282325|0.000036|-4.3|1.3|1578
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-51|497|0.00036|0.282428|0.00003|-1.7|1.1|1378
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-52|620|0.00112|0.282475|0.000042|2.4|1.5|1212
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-53|372|0.00105|0.282705|0.000036|5.2|1.3|831
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-54|576|0.00007|0.282328|0.000028|-3.3|1|1548
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-55|647|0.00069|0.282305|0.000029|-2.8|1|1572
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-56|1131|0.00059|0.282129|0.000028|1.7|1|1670
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-57|532|0.00001|0.28201|0.000026|-15.6|0.9|2296
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-58|543|0.00007|0.281441|0.00003|-35.5|1.1|3556
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-59|529|0.00012|0.282186|0.000029|-9.5|1|1904
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-60|728|0.00129|0.282234|0.00003|-3.9|1.1|1703
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-61|1511|0.00161|0.282174|0.000044|10.8|1.6|1511
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-62|731|0.0006|0.281586|0.000027|-26.4|1|3136
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-63|609|0.00067|0.282437|0.00004|1|1.4|1293
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-64|562|0.00073|0.282415|0.000027|-0.8|1|1375
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-65|313|0.00054|0.282708|0.000029|4.1|1|852
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1746-66|551|0.00005|0.282319|0.000026|-4.2|0.9|1585
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-01|538|0.00002|0.282335|0.000035|-3.9|1.2|1556
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-02|570|0.00065|0.282455|0.000021|0.8|0.7|1276
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-03|1033|0.00107|0.282023|0.000034|-4.6|1.2|1992
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-04|548|0.00009|0.28251|0.00003|2.5|1|1151
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-05|522|0.00098|0.282616|0.000025|5.3|0.9|943
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-06|545|0.00042|0.282021|0.000025|-15|0.9|2273
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-07a|552|0.00018|0.282009|0.000023|-15.2|0.8|2289
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-07b|532|0.00016|0.281977|0.000028|-16.8|1|2375
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-08|532|0.00013|0.282368|0.000019|-2.9|0.7|1486
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-09|525|0.00013|0.282429|0.000021|-0.9|0.7|1352
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-100|482|0.00037|0.282378|0.000023|-3.8|0.8|1501
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-101|530|0.00011|0.281996|0.000026|-16.1|0.9|2331
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-10a|1120|0.00033|0.281889|0.000035|-6.8|1.3|2207
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-10b|401|0.00177|0.282236|0.000052|-11|1.8|1899
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-11|548|0.00008|0.281684|0.00002|-26.8|0.7|3016
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-12|477|0.00071|0.281522|0.00002|-34.3|0.7|3431
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-13a|552|0.0006|0.282338|0.000022|-3.7|0.8|1553
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-13b|561|0.00035|0.282337|0.000022|-3.4|0.8|1543
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-13c|542|0.00046|0.28233|0.000019|-4.2|0.7|1575
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-14|556|0.00048|0.281874|0.000027|-20|1|2598
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-15|535|0.00066|0.282382|0.000021|-2.6|0.8|1465
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-16|614|0.00055|0.282474|0.000028|2.5|1|1202
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-17|594|0.00023|0.282394|0.000018|-0.7|0.6|1390
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-18|512|0.00001|0.282613|0.000025|5.3|0.9|935
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-19|556|0.00042|0.282033|0.000018|-14.4|0.7|2239
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-20a|556|0.00065|0.282216|0.000023|-8|0.8|1830
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-20b|561|0.00071|0.282224|0.000026|-7.6|0.9|1810
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-21|555|0.00029|0.282325|0.000019|-4|0.7|1573
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-22|531|0.0002|0.282403|0.000023|-1.7|0.8|1408
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-23|603|0.00033|0.282346|0.00002|-2.2|0.7|1498
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-24|570|0.00058|0.282487|0.000021|2|0.7|1200
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-25|2001|0.00041|0.281342|0.000021|-6.4|0.8|2883
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-26|356|0.00279|0.28282|0.000037|8.5|1.3|599
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-27|658|0.00059|0.282586|0.000033|7.4|1.2|918
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-28a|540|0.00011|0.282443|0.000023|-0.1|0.8|1310
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-28b|511|0.00014|0.28248|0.000025|0.6|0.9|1244
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-29|534|0.00022|0.282395|0.000021|-2|0.8|1426
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-30|522|0.00067|0.281951|0.000022|-18.1|0.8|2449
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-31|539|0.00013|0.282359|0.000021|-3.1|0.7|1503
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-32a|583|0.00073|0.282502|0.000025|2.7|0.9|1161
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-32b|580|0.00041|0.282469|0.000018|1.6|0.6|1231
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-33|589|0.0001|0.282376|0.000024|-1.4|0.9|1432
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-34|642|0.00017|0.282321|0.000018|-2.2|0.6|1526
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-35|538|0.00029|0.281791|0.00002|-23.3|0.7|2788
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-36|573|0.00087|0.281795|0.000037|-22.6|1.3|2773
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-37|493|0.00092|0.282135|0.000023|-12.3|0.8|2057
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-38|558|0.00017|0.282182|0.000032|-9|1.1|1896
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-39|529|0.00051|0.281708|0.000033|-26.5|1.2|2984
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-40|922|0.00073|0.282302|0.000021|3.1|0.7|1411
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-41|543|0.00001|0.282274|0.000016|-6|0.6|1691
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-42|528|0.00025|0.282039|0.000025|-14.7|0.9|2239
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-43|2159|0.00029|0.281135|0.000022|-9.9|0.8|3231
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-44a|963|0.00087|0.282305|0.000024|4|0.8|1384
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-44b|571|0.00012|0.282447|0.000021|0.7|0.7|1281
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-45|541|0.00015|0.282202|0.000025|-8.6|0.9|1858
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-46|511|0.00016|0.28235|0.000019|-4.1|0.7|1542
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-47|654|0.00005|0.282402|0.00002|1|0.7|1328
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-48|565|0.00059|0.28204|0.000024|-14|0.8|2222
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-49|560|0.00028|0.281806|0.000048|-22.2|1.7|2741
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-50|1089|0.00023|0.281879|0.000019|-7.8|0.7|2245
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-51|503|0.00002|0.282148|0.000017|-11.3|0.6|2002
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-52|522|0.00071|0.282062|0.000021|-14.2|0.7|2200
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-53|527|0.00015|0.281767|0.00002|-24.3|0.7|2847
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-54|557|0.00002|0.282246|0.000016|-6.7|0.6|1747
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-55|533|0.00075|0.282003|0.000023|-16|0.8|2327
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-56|507|0.00039|0.282043|0.00002|-15.1|0.7|2245
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-57|546|0.00146|0.281504|0.000024|-33.7|0.8|3446
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-58|524|0.00004|0.282341|0.000017|-4|0.6|1552
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-59|602|0.00031|0.282507|0.00002|3.5|0.7|1128
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-60|527|0.00073|0.282075|0.000017|-13.6|0.6|2168
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-61|541|0.00059|0.281649|0.000019|-28.4|0.7|3111
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-62|464|0.00103|0.282308|0.00002|-6.8|0.7|1684
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-63|1028|0.0004|0.281621|0.000038|-18.4|1.3|2868
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-64|488|0.00002|0.282223|0.000018|-9|0.7|1842
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-65a|321|0.00089|0.282643|0.000025|2|0.9|1001
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-65b|325|0.00066|0.28268|0.000032|3.4|1.1|910
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-66|569|0.00009|0.282418|0.000021|-0.3|0.7|1349
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-67|533|0.00016|0.282443|0.000019|-0.3|0.7|1315
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-68|533|0.00004|0.282323|0.000023|-4.5|0.8|1588
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-69a|511|0.00056|0.282488|0.000022|0.7|0.8|1236
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-69b|513|0.00055|0.282471|0.000023|0.1|0.8|1273
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-70|606|0.00068|0.282396|0.000035|-0.5|1.2|1391
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-71|568|0.00063|0.282449|0.000024|0.6|0.8|1291
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-72|232|0.00134|0.282492|0.000034|-5.4|1.2|1408
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-73a|575|0.00054|0.282508|0.000023|2.8|0.8|1148
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-73b|575|0.00032|0.282521|0.000025|3.3|0.9|1114
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-74|1088|0.00047|0.282278|0.000032|6.1|1.1|1350
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-75|2776|0.00073|0.28089|0.000031|-5.2|1.1|3433
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-76|303|0.00092|0.282532|0.000028|-2.4|1|1268
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-77a|3396|0.00135|0.280594|0.00003|-2.9|1.3|3789
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-77b|2097|0.00029|0.280813|0.000021|-22.8|0.7|3979
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-78|316|0.00094|0.28259|0.000024|0|0.9|1126
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-79|573|0.00081|0.282513|0.000021|2.8|0.7|1145
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-80|1010|0.00141|0.282346|0.000032|6.2|1.1|1285
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-81|537|0.00024|0.282275|0.000025|-6.1|0.9|1698
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-82a|309|0.0011|0.282693|0.000031|3.4|1.1|898
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-82b|312|0.0009|0.282705|0.000023|3.9|0.8|865
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-83a|44|0.00059|0.28303|0.000036|9.6|1.3|273
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-83b|44|0.00077|0.283023|0.000035|9.4|1.2|290
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-84|337|0.00077|0.282634|0.00002|2|0.7|1012
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-85|588|0.00038|0.282447|0.000029|1|1|1277
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-86|500|0.00009|0.282476|0.000026|0.2|0.9|1260
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-87|519|0.00004|0.282397|0.000025|-2.2|0.9|1427
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-88|522|0.00014|0.282354|0.000019|-3.7|0.7|1527
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-89|552|0.0002|0.28205|0.000023|-13.8|0.8|2197
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-90|521|0.00014|0.282305|0.00003|-5.4|1.1|1637
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-91|566|0.00033|0.282335|0.000028|-3.4|1|1544
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-92|533|0.00058|0.282472|0.000025|0.6|0.9|1260
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-93|548|0.00039|0.282367|0.000024|-2.7|0.9|1486
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-94a|551|0.00043|0.281901|0.000027|-19.1|1|2538
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-94b|530|0.00034|0.281858|0.000028|-21.1|1|2645
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-95|512|0.00025|0.282357|0.000029|-3.8|1|1528
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-96|525|0.00004|0.281633|0.000021|-29.1|0.7|3142
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-97|512|0.00002|0.282478|0.000021|0.6|0.8|1244
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-98|517|0.00002|0.282406|0.000021|-1.9|0.8|1406
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|1774-99|528|0.00037|0.281765|0.000024|-24.5|0.9|2856
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-01a|308|0.00102|0.282621|0.000038|0.8|1.3|1063
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-01b|317|0.00107|0.282569|0.000052|-0.8|1.8|1176
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-02|375|0.00179|0.282803|0.000054|8.6|1.9|612
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-03|331|0.00127|0.282963|0.000048|13.4|1.7|331
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-04|332|0.00087|0.28287|0.000042|10.2|1.5|468
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-05|392|0.00056|0.282368|0.000031|-6.1|1.1|1582
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-06|322|0.00109|0.282723|0.000029|4.7|1|819
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-08|280|0.00208|0.282717|0.000027|3.4|1|871
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-09|351|0.00108|0.282695|0.000032|4.4|1.1|865
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-10|313|0.00189|0.282665|0.000037|2.3|1.3|969
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-11|245|0.00135|0.282841|0.000044|7.2|1.5|595
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-12|397|0.0009|0.282491|0.000052|-1.8|1.8|1305
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-13|383|0.00106|0.282704|0.000053|5.4|1.9|825
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-14|242|0.00073|0.282746|0.000037|3.9|1.3|811
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-15|313|0.00114|0.282678|0.000045|2.9|1.6|929
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-16|373|0.00115|0.282696|0.000021|4.9|0.7|852
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-17|284|0.00256|0.282736|0.000038|4.1|1.3|831
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-18|1077|0.00059|0.282046|0.000034|-2.4|1.2|1892
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-19|1127|0.00063|0.282188|0.000034|3.7|1.2|1539
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-20|342|0.00057|0.282904|0.00003|11.7|1.1|378
Dhuime et al., 2012 Science|Australia|Dhuime et al., 2012 Science|2346-21|242|0.00056|0.282745|0.000033|3.9|1.2|810
