Locality	Unit 	Sample_ID	Age	Reference	d18O	Reference	SiO2	Reference	Lithology	
Yilgarn Craton	Jack Hills 	01JH36-115 	4065	2	5.3	2			Detrital zircons - quartzite 	
Wyoming province	Beartooth mountains 	BT3-4 	3847	0	6.2	0			Detrital zircons - quartzite 	
Wyoming province	Beartooth mountains 	BT4-13 	3826	0	7.3	0			Detrital zircons - quartzite 	
Wyoming province	Beartooth mountains 	BT4-5 	3723	0	6.3	0			Detrital zircons - quartzite 	
Wyoming province	Beartooth mountains 	BT4-2 	3812	0	5.7	0			Detrital zircons - quartzite 	
Wyoming province	Beartooth mountains 	BT4-4 	3746	0	5.9	0			Detrital zircons - quartzite 	
Wyoming province	Beartooth mountains 	BT4-6 	3862	0	6.3	0			Detrital zircons - quartzite 	
Wyoming province	Beartooth mountains 	BT4-20 	3751	0	5.8	0			Detrital zircons - quartzite 	
Wyoming province	Beartooth mountains 	BT4-36 	3973	0	6.5	0			Detrital zircons - quartzite 	
Wyoming province	Beartooth mountains 	BT4-58 	2936	0	5.5	0			Detrital zircons - quartzite 	
Wyoming province	Beartooth mountains 	BT4-40 	3965	0	6.4	0			Detrital zircons - quartzite 	
Barberton South Africa	Theespruit Tonalite gneiss 	B87-5 	3538	3	5.24	3			Granitic	
Barberton South Africa	Steynsdorp pluton 	B87-24 	3509	3	4.38	3			Granitic	
Barberton South Africa	Stolzburg pluton 	B87-1 	3460	3	5.52	3			Granitic	
Barberton South Africa	Theespruit pluton 	B87-4 	3443	3	4.68	3			Granitic	
Barberton South Africa	Kaap Valley tonalite 	B87-14 	3227	3	5.94	3			Tonalite	
Barberton South Africa	Kaap Valley tonalite 	B87-32 	3228	3	5.95	3			Tonalite	
Barberton South Africa	Dalmein pluton 	B87-22 	3216	3	4.91	3			Granitic	
Barberton South Africa	Nelspruit tonalite xenolith 	B87-18 	3304	3	5.52	3			Tonalite	
Barberton South Africa	Mpuluzi batholith 	B87-25 	3107	3	6	3			Granitic	
Barberton South Africa	Boesmanskop pluton 	B87-20 	3107	3	6.55	3			Granitic	
Barberton South Africa	Mpageni pluton 	B87-16 	2740	3	6.12	3			Granitic	
Superior Province Volcanics	Dash Lake 	DD78-24 	2729	4	5.48	82			Dacite (2)	
Superior Province Volcanics	Sturgeon Lake cycle 2 	JH 82-3 	2736	5	5.09	5	52.6	4	Rhyolite (3)	
Superior Province Volcanics	Sturgeon Lake cycle 2 	JH 82-4 	2735	5	5.46	5	77.2	4	NBU rhyolite (3)	
Superior Province Volcanics	Sturgeon Lake cycle 3 	JH 82-1 	2734	5	5.39	5	74.2	4	Lyon Lake rhyolite (3)	
