Database|Reference|Sample_ID|Comments|Age|d18O|d18O_2sigma
Payne et al., 2016 LITHOS|Ali et al. (2015)|D54|Iav|610.8|6.29|0.48
Payne et al., 2016 LITHOS|Ali et al. (2015)|D53|Iav|613.9|6.44|0.26
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YS-503|I|578.0|7.07|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|DV-82-87|I|583.0|5.82|0.06
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-4403|I|586.0|5.46|0.01
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-4516|I|586.0|5.43|0.05
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-4546|I|586.0|5.59|0.07
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YE-99|I|588.0|6.23|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|A-198|I|590.0|7.23|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|A-197-1|I|590.0|6.45|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|IL-8|I|590.0|5.48|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|IL-9|I|590.0|5.50|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|IL-84|I|590.0|5.66|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|IL-149|I|590.0|5.49|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YS-1QA|I|590.0|6.68|0.05
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-3896|I|591.0|5.06|0.00
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-3968|I|591.0|5.34|0.11
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-2695|I|592.0|5.25|0.01
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-1518|I|594.0|4.90|0.00
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-1351|I|594.0|4.88|0.01
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-1384|I|594.0|4.62|0.04
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|A-52|I|595.0|6.49|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|A-149|I|595.0|6.36|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-1805|I|595.0|4.49|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-1886|I|596.0|5.25|0.08
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-1885|I|596.0|5.01|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-2120|I|597.0|6.19|0.04
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-2199|I|597.0|6.10|0.02
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YS-400|I|597.0|8.04|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-2839|I|599.0|5.89|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-1588|I|600.0|5.16|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-1709|I|600.0|5.29|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-2364|I|600.0|6.50|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YE-98|I|600.0|6.35|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-3010|I|600.0|5.65|0.02
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|AG-64|I|602.0|5.68|0.00
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|AG-66|I|602.0|5.60|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|AG-77|I|602.0|5.89|0.01
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|AG-40|I|602.0|5.75|0.02
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-1561|I|603.0|5.30|0.14
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|AG-62|I|603.0|5.82|0.04
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-1724|I|604.0|5.27|0.02
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-4917|I|605.0|6.88|0.08
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-4378|I|605.0|6.66|0.01
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|AG-35|I|605.0|6.52|0.05
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|AG-36|I|605.0|6.76|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|AG-81|I|605.0|6.60|0.04
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|AG-63|I|606.0|5.52|0.02
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|AG-67|I|606.0|5.48|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|AG-44|I|606.0|5.93|0.00
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-1610|I|607.0|5.07|0.01
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-1737|I|607.0|5.03|0.03
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-1810|I|608.0|5.08|0.14
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-3704|I|608.0|5.24|0.01
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-3699|I|608.0|5.10|0.09
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-1542|I|608.0|5.08|0.06
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-1634|I|608.0|5.17|0.09
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-1600|I|608.0|5.17|0.02
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-2609|I|610.0|5.59|0.07
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-1876|I|610.0|5.79|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-2911|I|610.0|6.49|0.04
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-2921|I|610.0|6.51|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-2504|I|611.0|6.49|0.04
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-2491|I|611.0|6.75|0.04
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-826|I|611.0|6.87|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-2351|I|619.0|5.68|0.06
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-2344|I|619.0|5.21|0.02
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-3744|I|622.0|6.57|0.01
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-3440|I|629.0|5.67|0.02
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-4557|I|629.0|5.39|0.07
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-4600|I|629.0|4.90|0.03
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YE-34|I|630.0|6.36|0.03
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-3713|I|632.0|4.99|0.03
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|AG-69|I|632.0|6.28|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|AG-70|I|632.0|6.12|0.02
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|AG-71|I|632.0|6.11|0.04
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|S-3807|I|632.0|5.43|0.11
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YE-61|I|634.0|6.70|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YE-58|I|634.0|6.95|0.02
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YE-33|I|636.0|6.97|0.03
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YE-11|I|636.0|7.15|0.03
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YE-1|I|636.0|6.18|0.01
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|AG-79|I|640.0|7.93|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YE-5|I|650.0|7.24|0.02
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YE-6|I|650.0|7.39|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YE-16|I|740.0|6.68|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YE-24|I|740.0|7.23|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YE-12|I|780.0|8.08|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YE-21|I|780.0|8.09|0.02
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YE-2|I|780.0|8.03|0.01
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YE-14|I|780.0|8.32|0.04
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YE-8|I|780.0|6.67|0.10
Payne et al., 2016 LITHOS|Be-'eri Shlevin et al. (2009)|YE-9|I|780.0|7.09|0.10
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES73-13.3b|D|3598.0|5.27|1.85
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES72-15.7|D|3599.0|5.25|2.30
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES72-1.3|D|3601.0|7.23|2.30
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES54-20.3|D|3603.0|5.66|0.29
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES55-4.19|D|3603.0|6.35|0.35
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES54-12.10|D|3611.0|5.87|0.58
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-05.09|D|3618.0|5.35|0.55
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-14.16|D|3618.0|5.66|0.20
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-10.16|D|3621.0|5.52|0.32
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-14.4|D|3621.0|4.15|0.60
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-14.4|D|3621.0|-0.46|1.03
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES54-5.17|D|3624.0|4.90|0.67
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-14.07|D|3629.0|5.97|0.18
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-15.01|D|3629.0|5.98|0.27
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-16.17|D|3635.0|5.78|0.28
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-15.16|D|3635.0|5.97|0.53
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES72-17.8|D|3635.0|5.46|2.30
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES72-17.8|D|3635.0|1.10|2.31
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES72-3.2|D|3637.0|5.74|2.29
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-16.06|D|3639.0|6.01|0.42
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES54-11.12|D|3644.0|4.76|0.54
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES54-12.5|D|3646.0|4.96|0.20
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-8.7|D|3648.0|-5.66|1.19
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-16.05|D|3655.0|6.46|0.25
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-14.04|D|3674.0|5.20|0.87
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-03.15|D|3685.0|5.48|0.34
Payne et al., 2016 LITHOS|Bell and Harrison (2013)| RSES53-3.1|D|3686.0|5.82|0.53
Payne et al., 2016 LITHOS|Bell and Harrison (2013)| RSES53-3.1|D|3686.0|5.76|2.00
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-14.11|D|3691.0|6.46|0.40
Payne et al., 2016 LITHOS|Bell and Harrison (2013)| RSES53-1.7|D|3694.0|2.83|2.14
Payne et al., 2016 LITHOS|Bell and Harrison (2013)| RSES53-1.7|D|3694.0|4.35|0.22
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-10.11|D|3696.0|5.76|0.31
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES54-14.19|D|3703.0|5.88|0.23
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-14.06|D|3715.0|5.75|0.42
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-07.01|D|3722.0|6.07|0.41
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-07.01|D|3722.0|3.12|0.76
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-08.07|D|3728.0|5.51|0.83
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-1.18|D|3729.0|6.21|0.28
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES54-8.16|D|3738.0|5.59|0.24
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-08.17|D|3741.0|5.98|0.20
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES54-16.14|D|3753.0|4.79|0.35
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-04.17|D|3753.0|5.99|0.36
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-03.03|D|3754.0|4.54|0.63
Payne et al., 2016 LITHOS|Bell and Harrison (2013)| RSES53-1.11|D|3755.0|5.73|0.64
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES54-4.9|D|3757.0|5.73|0.45
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES56-14.09|D|3760.0|-2.82|3.72
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES56-13.17|D|3764.0|5.25|0.29
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-15.1|D|3766.0|5.34|0.35
Payne et al., 2016 LITHOS|Bell and Harrison (2013)| RSES53-4.6|D|3767.0|6.23|2.78
Payne et al., 2016 LITHOS|Bell and Harrison (2013)| RSES53-4.6|D|3767.0|5.41|0.35
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-06.18|D|3768.0|5.99|0.30
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-2.9|D|3774.0|5.61|0.24
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-12.04|D|3778.0|5.79|0.43
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-13.17|D|3787.0|6.04|0.47
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-11.3|D|3815.0|6.00|0.27
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES55-5.13|D|3816.0|4.96|0.59
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-16.15.2|D|3816.4|4.87|0.42
Payne et al., 2016 LITHOS|Bell and Harrison (2013)| RSES53-3.12|D|3819.0|4.53|0.45
Payne et al., 2016 LITHOS|Bell and Harrison (2013)| RSES53-3.12|D|3819.0|5.81|0.49
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES73-3.7|D|3831.0|4.89|1.85
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-04.08|D|3838.0|-5.70|1.76
Payne et al., 2016 LITHOS|Bell and Harrison (2013)| RSES53-3.4|D|3839.0|6.85|3.01
Payne et al., 2016 LITHOS|Bell and Harrison (2013)| RSES53-3.4|D|3839.0|3.38|0.51
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES56-01.18|D|3843.0|6.47|1.29
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-14.14|D|3845.5|5.12|0.19
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-08.13|D|3846.0|5.85|0.60
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES72-14.9|D|3848.0|5.28|2.30
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES72-1.2|D|3864.0|5.07|2.30
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES73-3.2|D|3866.0|5.66|1.86
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES54-19.5|D|3869.2|5.96|0.37
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES56-10.17|D|3870.0|6.31|2.33
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-5.11|D|3871.0|4.57|0.66
Payne et al., 2016 LITHOS|Bell and Harrison (2013)| RSES53-3.5|D|3878.0|4.99|0.68
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES73-5.8|D|3884.0|4.36|1.90
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES55-13.8|D|3885.2|4.77|0.66
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES73-10.4b|D|3888.0|5.30|1.86
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES56-03.17|D|3889.0|5.87|0.30
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES56-03.17|D|3889.0|6.22|2.26
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES56-02.09|D|3890.0|5.68|0.22
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-13.14|D|3892.0|6.35|0.43
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-15.13|D|3893.0|6.16|0.18
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-15.13|D|3893.0|2.01|0.68
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES73-4.7|D|3894.0|5.25|1.85
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES72-12.9|D|3897.0|5.19|2.29
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-3.13|D|3902.2|5.93|0.21
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES73-17.10|D|3905.0|5.81|1.86
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES73-17.10|D|3905.0|7.42|1.85
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES54-18.11|D|3905.9|5.96|0.38
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES53-13.19|D|3907.8|5.89|0.77
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-17.7|D|3910.0|5.89|0.39
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES53-16.11|D|3911.4|6.53|0.44
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES55-6.12|D|3912.7|5.24|0.88
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES54-14.6|D|3913.7|4.64|0.49
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES54-14.6|D|3913.7|5.08|0.81
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES54-17.17|D|3923.9|5.18|0.47
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES72-13.1|D|3924.0|6.94|2.30
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES72-13.1|D|3924.0|8.87|2.30
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-12.3|D|3925.8|6.15|0.31
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-16.03|D|3929.0|5.68|0.25
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES54-12.2|D|3930.6|4.43|0.30
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES55-13.13|D|3935.0|2.45|0.42
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-03.02|D|3937.0|5.57|0.45
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES73-13.7b|D|3938.0|5.55|1.85
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-10.15|D|3941.0|6.04|0.28
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-6.4|D|3944.9|6.66|0.25
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-11.8|D|3945.7|5.91|1.14
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-11.8|D|3945.7|6.25|1.16
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-14.18|D|3951.3|5.93|0.23
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-9.14|D|3951.4|5.71|0.26
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES72-4.2|D|3957.0|3.40|2.30
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-16.15|D|3964.5|4.87|0.42
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-19.5|D|3967.1|6.17|0.23
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES54-4.17|D|3973.1|5.68|0.29
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-4.19|D|3974.0|5.77|0.14
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES54-17.18|D|3974.2|6.79|0.59
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES54-17.18|D|3974.2|3.33|0.70
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES54-6.4|D|3982.8|6.67|0.16
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES54-6.4|D|3982.8|6.51|0.18
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES54-9.4|D|3984.0|5.87|0.24
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-4.7|D|3985.4|6.26|0.22
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES54-12.17|D|3985.7|5.95|0.21
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-1.9|D|3987.0|5.91|0.29
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-15.9|D|3988.0|5.77|0.20
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES73-3.1|D|3989.0|4.32|1.85
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-6.5|D|3989.5|5.99|0.32
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-19.7|D|3991.8|5.42|0.38
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-18.4|D|3992.1|5.95|0.68
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES59-10.12|D|3995.3|6.58|1.15
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-8.2|D|3995.6|5.66|0.33
Payne et al., 2016 LITHOS|Bell and Harrison (2013)|RSES58-17.1|D|3995.8|5.62|0.26
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_7-2 blks1-7|D|3351.0|5.56|0.30
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_3-10 core|D|3363.0|5.96|0.32
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_1-11|D|3371.0|5.43|0.31
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_5-6|D|3374.0|5.24|0.29
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_5-5|D|3378.0|5.51|0.31
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_6-4|D|3378.0|4.81|0.31
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_2-8|D|3379.0|5.03|0.31
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_3-11|D|3379.0|5.37|0.29
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_5-3 blks1-7|D|3379.0|5.26|0.32
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_5-9|D|3380.0|5.65|0.30
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_3-14|D|3383.0|5.43|0.30
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_6-7|D|3383.0|5.48|0.32
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_2-3|D|3384.0|5.66|0.32
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_2-7|D|3384.0|5.11|0.32
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_4-8|D|3384.0|6.39|0.29
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_14-8|D|3385.0|5.31|0.57
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_2-11|D|3386.0|5.57|0.32
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_2-9|D|3387.0|6.06|0.33
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_11-10|D|3389.0|5.66|0.54
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_1-10|D|3390.0|5.87|0.33
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_16-15|D|3391.0|4.88|0.30
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_16-14|D|3392.0|5.21|0.37
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_3-8|D|3392.0|5.05|0.31
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_6-9|D|3393.0|5.55|0.29
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_12-13|D|3394.0|5.61|0.56
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_13-15|D|3394.0|4.96|0.33
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_2-6|D|3394.0|5.30|0.32
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_10-11|D|3395.0|5.39|0.32
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_14-9|D|3395.0|5.00|0.56
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_4-1|D|3395.0|5.95|0.30
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_6-8 blks1-5|D|3395.0|5.18|0.33
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_6-8 blks1-5|D|3395.0|5.18|0.33
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_16-10|D|3396.0|5.78|0.31
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_16-3|D|3396.0|5.30|0.33
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_5-7|D|3396.0|5.90|0.31
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_16-1|D|3397.0|5.50|0.29
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_15-14|D|3400.0|5.32|0.54
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_17-3|D|3401.0|5.54|0.30
Payne et al., 2016 LITHOS|Bell et al. (2011)|RSES51_1-5|D|3402.0|6.08|0.29
