Database|Reference|Continent|Locality|Sample_ID|Age|Age_1sigma|Lu176_Hf177|Hf176_Hf177|Hf176_Hf177_2sigma|eHf(T)|Tdm_Crustal|d18O|d18O_2sigma|Comments
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K82-8.1c|2714|10|0.001111|0.281099|0.000025|0|3.17|7.96|0.53|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K82-10.1c|2714|10|0.000928|0.281041|0.000026|-1.7|3.27|6.8|0.8|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K82-11.1c|2714|10|0.000767|0.281067|0.000023|-0.5|3.2|7.74|0.39|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K82-12.1c|2714|10|0.000845|0.281039|0.000026|-1.6|3.26|7.9|0.42|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K82-14.1c|2714|10|0.001164|0.281028|0.000027|-2.6|3.32|8.49|0.48|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K82-15.1c|2714|10|0.001082|0.281113|0.000026|0.6|3.14|7.13|0.17|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K82-16.1c|2714|10|0.000611|0.281074|0.000024|0.1|3.17|7.74|0.44|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K82-17.1c|2714|10|0.000807|0.281072|0.000025|-0.4|3.19|8.8|0.22|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K82-18.1c|2714|10|0.000725|0.281066|0.000025|-0.4|3.2|8.1|0.41|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K100-1.1c|2740|19|0.000655|0.280958|0.000023|-3.5|3.4|7.35|0.22|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K100-2.1c|2740|19|0.001106|0.281131|0.000021|1.8|3.09|9.33|0.45|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K100-2.2c|2740|19|0.001204|0.281145|0.000023|2.1|3.07|9.49|0.23|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K100-3.1c|2740|19|0.001286|0.281056|0.000025|-1.2|3.26|8.86|0.18|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K100-4.1c|2740|19|0.000748|0.281071|0.000021|0.3|3.17|9|0.17|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K100-5.1c|2740|19|0.001147|0.281049|0.000022|-1.2|3.26|9.54|0.4|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K100-6.1c|2740|19|0.000582|0.280987|0.000027|-2.4|3.33|6.3|0.24|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K100-7.1c|2740|19|0.001388|0.281128|0.000023|1.1|3.12|8.55|0.29|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K100-8.1c|2740|19|0.001017|0.281189|0.000027|4|2.95|8.81|0.17|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K100-9.1c|2740|19|0.000826|0.281127|0.000035|2.1|3.06|6.37|0.21|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K100-9.2c|2740|19|0.000692|0.281147|0.00003|3.1|3.01|7.86|0.22|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K100-10.1c|2740|19|0.001086|0.280991|0.000022|-3.2|3.38|7.76|0.38|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K100-11.1c|2740|19|0.000716|0.280908|0.000025|-5.4|3.51|7.99|0.32|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K100-13.1c|2740|19|0.001291|0.281189|0.000027|3.5|2.99|7.89|0.33|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K100-16.1c|2740|19|0.001473|0.281158|0.000023|2|3.07|8.03|1|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K100-17.1c|2740|19|0.000634|0.280971|0.000024|-3|3.37|6.6|0.37|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K100-18.1c|2740|19|0.00102|0.280965|0.000023|-4|3.42|7.77|0.26|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K100-19.1c|2740|19|0.000195|0.281255|0.000027|7.9|2.73|8.46|0.22|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K100-21.1c|2740|19|0.000558|0.281061|0.000023|0.3|3.17|8.08|0.34|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Ge et al. (2014)|Asia|China, Korla Complex, Tarim Craton, |12K100-23.1c|2740|19|0.001158|0.281141|0.000021|2|3.07|9.9|0.14|Mantle and Crustal Sources
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@1|160.4|2.4|0.001074|0.282345|0.00002|-12.1|1.94|9.7|0.29|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@2|155.6|2.4|0.000914|0.282405|0.000018|-10.1|1.81|9.9|0.27|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@3|158.1|2.4|0.002677|0.282399|0.000021|-10.4|1.83|9|0.32|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@4|158.8|2.4|0.001147|0.282374|0.000018|-11.1|1.88|9.2|0.26|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@5|157|2.4|0.001436|0.282373|0.000018|-11.2|1.88|9.8|0.2|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@6|159||0.001161|0.282362|0.000016|-11.6|1.91|8.7|0.22|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@7|139.2|3|0.000974|0.2824|0.000017|-10.6|1.83|7.9|0.28|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@8|158.2|2.4|0.000982|0.282395|0.000016|-10.4|1.83|9.9|0.69|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@9|131.7|2|0.001834|0.282429|0.000019|-9.8|1.78|8.6|0.33|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@10|156.6|2.4|0.001038|0.282405|0.000016|-10.1|1.81|8.8|0.26|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@11|158.6|2.4|0.001145|0.282387|0.000016|-10.7|1.85|9.4|0.32|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@12|155.7|2.4|0.002485|0.282393|0.000035|-10.7|1.85|9.3|0.25|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@13|163.9|2.5|0.002686|0.282349|0.000022|-12.1|1.94|9.5|0.44|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@14|158.6|2.4|0.003719|0.28247|0.000025|-8|1.68|8.8|0.52|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@15|154.5|2.4|0.002645|0.282342|0.000025|-12.5|1.96|8.4|0.27|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@16|160.1|2.4|0.0012|0.28236|0.000021|-11.6|1.91|9.5|0.32|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@17|160|2.4|0.001082|0.282423|0.000021|-9.4|1.77|9.4|0.22|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@18|158.4|2.4|0.003316|0.282458|0.000025|-8.4|1.71|7.9|0.34|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@19|160|2.4|0.002722|0.282547|0.000028|-5.2|1.51|8.7|0.24|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@20|138.4|2.2|0.001254|0.28234|0.00002|-12.8|1.97|7.9|0.28|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@21|159||0.00136|0.282407|0.00002|-10|1.81|8.6|0.21|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@22|159||0.001083|0.282284|0.000017|-14.3|2.08|9.9|0.22|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@23|159||0.001388|0.282362|0.000023|-11.6|1.91|9.6|0.27|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@24|159||0.003337|0.282393|0.000019|-10.7|1.85|8.3|0.12|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@25|159||0.001208|0.282438|0.000015|-8.9|1.74|8.3|0.3|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@26|159||0.001353|0.282363|0.000022|-11.5|1.9|8.8|0.33|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@27|159||0.00184|0.282413|0.000019|-9.8|1.8|9.6|0.2|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@28|159||0.001581|0.282413|0.000023|-9.8|1.8|9.2|0.28|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@29|159||0.000887|0.282365|0.000018|-11.4|1.9|9.2|0.21|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@30|159||0.000911|0.282348|0.000023|-12|1.93|9.1|0.17|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@31|159||0.002117|0.282362|0.000021|-11.7|1.91|9.9|0.36|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@32|159||0.002377|0.282419|0.000019|-9.7|1.79|9.7|0.2|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-4@33|159||0.001603|0.282357|0.000019|-11.8|1.92|8.9|0.11|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-22@1|166.3|2.6|0.00263|0.28241|0.000024|-9.9|1.81|7.2|0.34|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-22@2|179.7|2.7|0.001673|0.282329|0.000022|-12.3|1.97|8.7|0.18|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-22@3|161||0.001783|0.28231|0.00002|-13.4|2.02|9.2|0.2|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-22@4|163.8|2.5|0.002153|0.282384|0.000026|-10.8|1.86|8.4|0.28|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-22@5|171.3|2.5|0.003066|0.282397|0.000018|-10.3|1.83|8.6|0.3|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-22@6|126.1|2.3|0.003878|0.282514|0.000021|-7.1|1.6|8.9|0.24|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-22@7|166.9|2.6|0.002671|0.282407|0.000019|-10|1.81|7.5|0.25|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-22@9|161||0.003142|0.282326|0.000016|-13|2|7.6|0.24|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-22@11|158.5|2.4|0.002496|0.282383|0.000023|-11|1.87|10.1|0.24|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-22@12|167.3|2.9|0.001948|0.282391|0.000014|-10.4|1.84|7|0.5|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-22@13|162.3|2.5|0.003121|0.282391|0.000024|-10.7|1.85|7.3|0.33|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-22@14|142.5|2.2|0.003895|0.282459|0.000017|-8.7|1.72|7.2|0.28|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-22@16|160.5|2.5|0.003512|0.282411|0.00002|-10|1.81|7.5|0.16|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-22@17|150.3|2.8|0.002346|0.282386|0.000014|-11|1.86|7.1|0.32|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-22@18|162.9|2.4|0.00236|0.282363|0.000018|-11.6|1.91|9.2|0.36|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-22@19|158.9|2.4|0.002351|0.282429|0.000018|-9.3|1.77|8.8|0.27|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-22@20|162.5|4.4|0.002257|0.28236|0.000017|-11.7|1.91|8.4|0.27|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@1|162.3|3.1|0.002716|0.282339|0.00002|-12.5|1.96|8.6|0.4|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@2|164.9|2.4|0.002026|0.282345|0.000021|-12.1|1.95|7.9|0.25|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@3|152.5|2.3|0.001479|0.282425|0.00002|-9.5|1.77|9.3|0.43|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@4|160.8|2.4|0.000952|0.282398|0.000018|-10.2|1.82|9.2|0.23|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@5|157.7|2.4|0.001481|0.282364|0.000019|-11.5|1.9|9.2|0.39|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@6|162.4|2.5|0.0019|0.282388|0.000019|-10.6|1.85|9.2|0.35|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@7|157.1|2.6|0.001135|0.282404|0.000016|-10.1|1.81|9.7|0.2|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@8|158.4|2.5|0.002149|0.282405|0.000015|-10.2|1.82|9.3|0.43|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@9|159.6|2.4|0.0018|0.282382|0.000017|-10.9|1.86|8.8|0.2|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@10|159.6|2.4|0.003114|0.282443|0.000026|-8.9|1.74|9.3|0.35|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@11|164.6|2.4|0.001429|0.282439|0.000023|-8.7|1.73|9.4|0.3|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@12|160.1|2.4|0.000808|0.282369|0.000025|-11.2|1.89|9.3|0.23|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@13|161.6|2.4|0.001449|0.282429|0.000017|-9.2|1.76|9.4|0.31|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@14|153.4|2.3|0.002067|0.282431|0.000018|-9.3|1.76|9.1|0.31|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@15|158.5|2.4|0.001103|0.282408|0.000019|-9.9|1.8|9.3|0.27|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@16|153.3|2.3|0.003159|0.282396|0.000018|-10.7|1.85|8.5|0.25|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@17|157.8|2.4|0.002431|0.282363|0.000022|-11.7|1.91|8.1|0.28|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@18|157.8|2.3|0.001964|0.282397|0.000024|-10.4|1.83|8.6|0.17|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@19|161.9|2.4|0.00112|0.282365|0.000023|-11.4|1.9|9.3|0.19|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@20|162.5|2.4|0.002603|0.28246|0.000029|-8.2|1.7|9.1|0.29|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@21|159||0.000946|0.282362|0.000023|-11.5|1.9|9.2|0.29|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@22|159||0.002382|0.282324|0.000025|-13|2|8.9|0.21|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@23|159||0.001724|0.282397|0.000023|-10.4|1.83|9.4|0.14|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@24|159||0.003243|0.282417|0.000032|-9.8|1.8|9.5|0.21|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@25|159||0.001578|0.282395|0.000019|-10.4|1.84|8.7|0.28|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@26|159||0.002969|0.282455|0.000022|-8.5|1.71|8.5|0.21|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@27|159||0.002964|0.2823|0.000021|-13.9|2.05|8.1|0.24|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@28|159||0.001868|0.282286|0.000089|-14.3|2.08|8.3|0.35|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-15@29|159||0.001536|0.28232|0.000036|-13.1|2|8.6|0.3|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-37@2|166.6|2.5|0.001945|0.282365|0.00002|-11.4|1.9|10|0.27|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-37@3|165|2.5|0.002244|0.282295|0.000022|-13.9|2.06|8.2|0.37|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-37@4|162|2.4|0.001009|0.282422|0.00002|-9.4|1.77|7.5|0.31|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-37@5|159.2|2.4|0.001677|0.28238|0.000019|-11|1.87|6.9|0.31|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-37@6|176.1|2.6|0.001255|0.2824|0.000022|-9.9|1.81|9.2|0.29|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-37@7|160.6|2.4|0.001126|0.282371|0.000021|-11.2|1.88|9.7|0.22|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-37@8|138.1|2.1|0.002117|0.282408|0.000018|-10.5|1.82|7.5|0.28|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-37@9|156.1|2.4|0.001654|0.282354|0.000024|-12|1.93|11.2|0.16|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-37@10|159.7|2.4|0.001021|0.282361|0.000021|-11.6|1.91|9.6|0.16|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-37@11|164.5|2.5|0.001333|0.282352|0.000025|-11.8|1.93|8.8|0.24|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-37@12|149|2.3|0.001205|0.282402|0.000022|-10.4|1.82|8.2|0.41|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-37@13|152.7|2.3|0.000939|0.282372|0.000018|-11.3|1.89|9.3|0.22|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-37@14|159|2.5|0.001895|0.28239|0.000022|-10.6|1.85|9.7|0.25|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-37@15|156.9|2.4|0.001081|0.282379|0.000021|-11|1.87|8.2|0.3|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-37@16|157.2|2.4|0.002001|0.28247|0.000023|-7.9|1.67|9|0.3|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-37@17|154.3|2.4|0.001443|0.282425|0.000018|-9.5|1.77|9.3|0.31|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-37@18|156.3|2.3|0.001925|0.282391|0.000018|-10.7|1.85|9.7|0.21|Melting of lower crust
Payne et al., 2016 LITHOS|Guo et al. (2012)|Asia|China, Nanling W-Sn Province, Xihuashan Pluton|XHS-37@19|155.4|2.7|0.002531|0.282445|0.000026|-8.8|1.73|9.7|0.24|Melting of lower crust
