Time,Coverage,CoverageSmoothed,Volume,VolumeSmoothed
0.5,0.152792413066386,0.098184675833171,134112.640625,94185.8515625
1.5,0.060063224446786,0.09824084666909,45581.79296875,94161.09375
2.5,0.066385669125395,0.098351120359483,47422.4140625,94110.7578125
3.5,0.074815595363541,0.098511724404579,105044.625,94037.28125
4.5,0.101159114857745,0.098717613515746,104045.9140625,93941.6171875
5.5,0.103266596417281,0.098962126056004,108396.9921875,93826.5546875
6.5,0.097997892518441,0.099237693034643,103440.2734375,93696.1171875
7.5,0.096944151738672,0.09953587112888,101885.015625,93554.96875
8.5,0.093782929399368,0.099847549741653,106520.1171875,93408.7578125
9.5,0.090621707060063,0.100163963829216,101859.3359375,93265.4375
10.5,0.099051633298209,0.100476550301512,101030.5234375,93133.53125
11.5,0.106427818756586,0.100777673849326,100036.0703125,93022.15625
12.5,0.111696522655427,0.10106117527963,113227.171875,92942.0703125
13.5,0.115911485774499,0.101322473551519,141027.140625,92904.203125
14.5,0.118018967334036,0.101558740862568,93668.15625,92919.859375
15.5,0.110642781875659,0.10176933805595,73140.8203125,92999.4453125
16.5,0.113804004214963,0.10195618462583,51413.75,93152.9453125
17.5,0.108535300316122,0.102123221885574,59458.92578125,93388.4609375
18.5,0.10432033719705,0.102276802334677,52488.98828125,93711.5390625
19.5,0.105374077976818,0.102425435773481,56796.046875,94124.8671875
20.5,0.0927291886196,0.102579754631616,53149.40234375,94631.34375
21.5,0.106427818756586,0.102751379648219,85993.484375,95229.6875
22.5,0.103266596417281,0.102953455532859,98424.953125,95916.765625
23.5,0.100105374077977,0.103199244850964,106228.046875,96687.1796875
24.5,0.102212855637513,0.103502131617212,126935.1640625,97533.625
25.5,0.102212855637513,0.103874452191826,101234.5546875,98446.3203125
26.5,0.097997892518441,0.104328875511937,131949.484375,99418.2109375
27.5,0.089567966280295,0.104874555893128,106629.1953125,100438.2265625
28.5,0.095890410958904,0.105518816652523,103444.7265625,101496.0078125
29.5,0.095890410958904,0.106265824452368,101549.953125,102582.3359375
30.5,0.089567966280295,0.107117017216978,95753.3984375,103689.015625
31.5,0.090621707060063,0.108070702738546,97175.3203125,104809.234375
32.5,0.088514225500527,0.109121565856435,87890.421875,105938.25
33.5,0.087460484720759,0.110261587172672,93044.3515625,107074.109375
34.5,0.10432033719705,0.111480001832857,127813.234375,108216.515625
35.5,0.106427818756586,0.112763705942955,102394.296875,109367.953125
36.5,0.10432033719705,0.114098055288551,101062.203125,110533.296875
37.5,0.110642781875659,0.115467661333166,94686.9609375,111719.765625
38.5,0.113804004214963,0.116856636703985,178362.953125,112937.3828125
39.5,0.119072708113804,0.118250150174065,93572.5078125,114196.1796875
40.5,0.139093782929399,0.119634246959976,194172.65625,115507.90625
41.5,0.146469968387777,0.120999702729089,116598.4375,116886.484375
42.5,0.147523709167545,0.122340135704732,116858.4140625,118345.6640625
43.5,0.134878819810327,0.123651395163074,80601.1875,119897.8125
44.5,0.135932560590095,0.1249352397409,80547.15625,121555.8046875
45.5,0.138040042149631,0.12619823145022,86576.796875,123330.796875
46.5,0.145416227608008,0.127452352211268,135394.765625,125233.6328125
47.5,0.142255005268704,0.128714601922408,108033.2734375,127272.5078125
48.5,0.136986301369863,0.130006623120884,85556.671875,129454.0703125
49.5,0.139093782929399,0.131354317039852,126168.2578125,131782.46875
50.5,0.125395152792413,0.132786786193747,135355.6875,134260.78125
51.5,0.115911485774499,0.134336263551627,102062.1328125,136888.40625
52.5,0.115911485774499,0.136035586530692,99260.4375,139662.890625
53.5,0.12118018967334,0.137917854867113,104824.0859375,142579.5625
54.5,0.131717597471022,0.140014919974582,158040.625,145631.4375
55.5,0.129610115911486,0.142355724952969,152610.515625,148809.984375
56.5,0.139093782929399,0.144965097928818,240025.140625,152101.046875
57.5,0.131717597471022,0.147862529249768,261622.078125,155490.171875
58.5,0.126448893572181,0.151061027404245,233098.171875,158960.078125
59.5,0.119072708113804,0.154566331891602,103099.9921875,162491.078125
60.5,0.119072708113804,0.158375517176549,103099.9921875,166060.390625
61.5,0.119072708113804,0.162477900654954,103099.9921875,169644.015625
62.5,0.122233930453109,0.166853440776567,103304.1875,173214.859375
63.5,0.115911485774499,0.1714747045297,116936.75,176746.109375
64.5,0.115911485774499,0.176306017579895,116793.140625,180208.6875
65.5,0.088514225500527,0.181305800752598,69378.328125,183573.046875
66.5,0.185458377239199,0.186427145276709,248049.546875,186814.25
67.5,0.216016859852476,0.191619435616314,313652.125,189907.59375
68.5,0.246575342465753,0.196830039094776,266465.4375,192835.453125
69.5,0.245521601685985,0.202005899228971,264037.84375,195580.546875
70.5,0.247629083245522,0.207095688376469,272400.5,198133.6875
71.5,0.259220231822972,0.212050721262362,256414.703125,200491.125
72.5,0.253951527924131,0.216827059452396,234643.234375,202657.140625
73.5,0.253951527924131,0.221386251864293,242983.671875,204641.375
74.5,0.256059009483667,0.22569724572115,226141.25,206462.25
75.5,0.258166491043203,0.229736038158894,211452.84375,208143.484375
76.5,0.258166491043203,0.233486427197567,188968.875,209714.375
77.5,0.258166491043203,0.236940337374749,181345.390625,211207.4375
78.5,0.258166491043203,0.240096886007243,198818.71875,212658.125
79.5,0.258166491043203,0.242962196345939,195509.078125,214101.953125
80.5,0.258166491043203,0.24554843822663,216612.953125,215575.875
81.5,0.266596417281349,0.247872752664326,214602.828125,217110.875
82.5,0.265542676501581,0.249956645931651,182710.953125,218737.6875
83.5,0.265542676501581,0.251824120888492,183000.5,220478.890625
84.5,0.265542676501581,0.253500879185428,234663.53125,222351.890625
