Reference,Sample ,U-Pb (Ma) , δ18O ,±2s
14,95SK12 ,58,4.2,
14,95SK5 ,58,4.1,
40,97-SK18 ,58,0.8,
40,97-SK23 ,58,2.6,
40,97AR18 ,58,5.4,
40,97AR5 ,58,7,
40,97AR9 ,58,7.1,
40,97SK 22 ,58,2.6,
40,97SK14 ,58,5.3,
40,97SK4 ,58,3.2,
40,97SK7 ,58,3.5,
40,98-ML2 ,58,3.4,
40,98-ML7 ,58,3.4,
40,98-SK1 ,58,0.8,
40,98-SK13 ,58,2.9,
40,98-SK20 ,58,4.5,
40,98-SK24 ,58,3,
40,98-SK32 ,58,0.6,
40,98-SK36 ,58,5.2,
40,98-SK6 ,58,1.7,
40,GP-422 ,58,5.4,
40,MLK3 ,58,5.9,
40,SC1/2 ,58,2.5,
40,SR-677 ,58,4.6,
59, M0-1069  ,61,8.5,0.3
22,98IB-6 ,62,6.8,
59, M0-1311  ,67,5.8,0.2
22,98IB-53 ,70,6.7,
22,98IB-52 ,70,8,
22,98IB-12 ,71,7.2,
59, M0-1290  ,72,8.8,0.2
59, M0-975  ,72,6.8,0.2
26,RM18 ,73,7.8,
34,95BR052 ,74,6.9,
34,95BR053 ,74,6.5,
22,98IB-5 ,75,6.9,
26,97TY-013 ,75,10,
26,97TY-014 ,75,9.6,
26,97TY-016 ,75,9.5,
26,97TY-017 ,75,9.4,
26,97TY-019 ,75,8,
26,97TY-020 ,75,7.9,
26,97TY-021 ,75,8.9,
26,97TY-022 ,75,6.8,
26,96BR-115 ,76,6.5,
59, M0-1079  ,76,5.8,0.2
22,98IB-56 ,80,5.3,
26,96BS11.1 ,80,5.8,
26,96BS11.2 ,80,5.7,
26,96BS11.3 ,80,5.8,
26,96BS11.4 ,80,5.8,
26,96BS11.5 ,80,5.8,
26,RM4 ,80,9.9,
31,94TH485 ,81,9.1,
34,1S114 ,81,6.2,
34,1S115 ,81,6.5,
34,L94-7 ,81,7,
31,IS 2000 ,83,8,
31,WHIT ,84,5.7,
34,A95-10 ,84,5.9,
22,98IB-68 ,85,7.8,
31,IS 1450 ,85,8.2,
34,3S36 ,85,5.7,
34,OW39 ,85,6.4,
33,3S37 ,86,8.4,
34,1S120 ,86,6.2,
34,1S124 ,86,6.1,
34,1S136 ,86,6.5,
34,1S137 ,86,6.7,
34,1S138 ,86,6.5,
5,TT6 ,87,1.2,
26,96BR-018 ,87,7.8,
26,96BR-019 ,87,8.2,
26,97BR-105 ,87,8.1,
26,97BR-106 ,87,8.3,
26,97BR-107 ,87,7.9,
26,97BR-108 ,87,8.1,
31,LEG 91-536 ,88,6,
34,68M15 ,88,5.9,
34,1S101 ,88,6.5,
34,1S112 ,88,6.5,
