Database|Continent|Sample_ID|Pb207_Pb206|Pb207_Pb206_2sigma|Pb207_U235|Pb207_U235_2sigma|Pb206_U238|Pb206_U238_2sigma|Pb208_Th232|Pb208_Th232_2sigma|Age_Pb206_Pb207|Age_Pb206_Pb207_2sigma|Age_Pb207_U235|Age_Pb207_U235_2sigma|Age_Pb206_U238|Age_Pb206_U238_2sigma|Age_Pb208_Th232|Age_Pb208_Th232_2sigma|Discordance|Age|Age_2sigma|Th_U|Hf176_Hf177|Hf176_Hf177_2sigma|Lu176_Hf177|Yb176_Hf177|Hf176_Hf177_initial|eHf_initial|eHf_initial_2sigma|Tdm|Tdm_Crustal
TerraneChron|Australia|13057|0.10009853|0.00109683|3.94892526|0.0421541|0.28631014|0.0028534|0.07762651|0.00064219|1625.9148029289|20.24|1623.770557765|8.4715331888|1623.0637430907|14.2796083682|1511.0853315114|12.0412079471|0.1753511213|1625.9148029289|40.48|0.7146855232|0.281711|0.000032|0.000773389|0.0260836|0.2816871632|-2.1853096711|1.1359158854|2.1223535441|2.4298620661
TerraneChron|Australia|13058|0.05449035|0.00062025|0.49218035|0.00532285|0.06555108|0.00063546|0.01908286|0.00016391|391.3706150809|25.26|406.395260692|3.6124307881|409.2964470057|3.8432107318|382.0730863956|3.2506825506|-0.7138829101|409.2964470057|7.6864214636|0.870607726|0.28263|0.00002|0.00213345|0.0933476|0.2826136347|3.4088672948|0.7076389626|0.8799951034|1.1320749241
TerraneChron|Australia|13059|0.05483057|0.00063612|0.51091236|0.00569106|0.06762443|0.00066566|0.01971467|0.00017574|405.3207730832|25.51|419.0624768085|3.8137386101|421.8276963011|4.0179789483|394.6003611692|3.4831164413|-0.6598585284|421.8276963011|8.0359578966|0.6194937466|0.282228|0.0000098|0.000602864|0.0290511|0.2822232334|-10.1330023679|0.3472369857|1.4031153369|2.0053335722
TerraneChron|Australia|13060|0.07333077|0.0008263|1.82956207|0.02002519|0.18107465|0.00180655|0.05018978|0.00045015|1023.1080205347|22.64|1056.1222055113|7.1149977765|1072.842832312|9.8514203655|989.8108275806|8.6617557592|-4.8611496322|1023.1080205347|45.28|0.8334075149|0.282335|0.000011|0.000804589|0.0383595|0.2823194835|6.6545632091|0.3896080897|1.2616861527|1.3998758512
TerraneChron|Australia|13061|0.18847716|0.00235302|13.46700573|0.15965593|0.51858097|0.00513592|0.13850117|0.0016547|2728.9187995603|20.41|2712.9721172983|10.3962036945|2693.159235711|21.7463128154|2621.7813883601|29.3522174881|1.3103931072|2728.9187995603|40.82|0.4260019331|0.280987|0.0000093|0.000627256|0.0267858|0.2809542139|-2.9338102417|0.3309761662|3.0933927718|3.3307601981
TerraneChron|Australia|13062|0.19940795|0.00239094|15.16888809|0.17698811|0.55209702|0.00559981|0.14039949|0.0015342|2821.356760296|19.44|2825.9013123467|10.2335750063|2833.8883654716|23.1931361057|2655.4548932749|27.1710377962|-0.4441694631|2821.356760296|38.88|0.5743134728|0.281025|0.000016|0.000545427|0.0252028|0.2809954996|0.682583693|0.5693443644|3.0360445397|3.1716426918
TerraneChron|Australia|13063|0.0598407|0.00070607|0.67256159|0.0076999|0.08156788|0.00081738|0.01830468|0.00016998|597.8193220282|25.35|522.2687083864|4.6565707328|505.4744826433|4.8697985926|366.6329677623|3.3736294114|3.2156293252|505.4744826433|9.7395971852|0.7307847226|0.282205|0.000034|0.00241544|0.0860765|0.2821820971|-9.7396883992|1.2047979306|1.5062562798|2.0449521469
TerraneChron|Australia|13064|0.05721482|0.00075425|0.61316109|0.00753206|0.07778604|0.00074508|0.02090235|0.00023067|499.8229997224|28.93|485.5517733302|4.7231907733|482.8942731547|4.4547856849|418.1282077953|4.5663692268|0.5473155123|482.8942731547|8.9095713698|0.5861625654|0.28231|0.000029|0.002082|0.0762452|0.2822911446|-6.3788054881|1.0272395593|1.3415982941|1.8131628087
TerraneChron|Australia|13065|0.05950324|0.00065999|0.77760369|0.00829102|0.09484411|0.00092777|0.02691689|0.00021052|585.5581114491|23.89|584.1155665671|4.7163795441|584.1224034602|5.4601535939|536.8570519954|4.143110837|-0.0011704692|584.1224034602|10.9203071878|0.5013977835|0.282405|0.00001|0.000319714|0.0136068|0.2824014943|-0.2287300756|0.3541013792|1.1493891045|1.4992714255
TerraneChron|Australia|13066|0.05822646|0.00065104|0.70623285|0.00767211|0.08802824|0.00087454|0.02571348|0.0002893|538.2935077563|24.88|542.506908279|4.5482649565|543.8652955955|5.1792620026|513.157119539|5.6999855482|-0.2503907869|543.8652955955|10.3585240052|0.0490964418|0.282344|0.0000073|0.000201437|0.00927321|0.2823419442|-3.2300329931|0.2585498541|1.2296228183|1.6595260825
