BinCenterAge,eHf,ehf_sigma,d18O,d18O_sigma
1912.5,-0.567417,0.569711,7.68297,0.390961
1927.5,-0.517945,0.596942,7.96927,0.380555
1942.5,-0.742408,0.606832,8.19481,0.357969
1957.5,-1.36159,0.607725,8.24006,0.360246
1972.5,-2.24816,0.585476,8.20258,0.383836
1987.5,-3.03507,0.53941,7.94965,0.407577
2002.5,-3.60415,0.515114,7.70973,0.442255
2017.5,-3.84056,0.505103,7.56373,0.447602
2032.5,-3.88448,0.50602,7.42967,0.443958
2047.5,-3.66793,0.527519,7.34196,0.433055
2062.5,-3.18179,0.547932,7.23429,0.418686
2077.5,-2.47948,0.563254,7.10744,0.412081
2092.5,-1.73845,0.56905,6.96358,0.429269
2107.5,-0.954809,0.558261,6.86956,0.438056
2122.5,-0.0248701,0.527494,6.78553,0.42878
2137.5,0.585147,0.502701,6.73415,0.380971
2152.5,0.895371,0.495743,6.66848,0.327773
2167.5,0.898062,0.516504,6.57816,0.312236
2182.5,0.8414,0.534761,6.40675,0.328461
2197.5,0.504975,0.55542,6.23053,0.36152
2212.5,0.136771,0.567809,6.09347,0.381574
2227.5,-0.37418,0.572406,6.12208,0.377846
2242.5,-0.757046,0.572034,6.16878,0.32268
2257.5,-0.852562,0.561245,6.23986,0.275656
2272.5,-0.907746,0.561437,6.28243,0.236748
2287.5,-1.0311,0.575255,6.30421,0.209304
2302.5,-1.2243,0.590726,6.41554,0.185733
2317.5,-1.35472,0.56466,6.55465,0.173448
2332.5,-1.5071,0.549234,6.65112,0.181195
2347.5,-1.76619,0.543275,6.76978,0.204453
2362.5,-1.99683,0.538529,6.81163,0.236864
2377.5,-2.1935,0.51979,6.71882,0.271913
2392.5,-2.23587,0.480866,6.6569,0.307671
2407.5,-2.12065,0.451223,6.60886,0.325598
2422.5,-1.98846,0.421742,6.65305,0.339151
2437.5,-1.98312,0.430911,6.69524,0.333352
2452.5,-1.92994,0.445604,6.67385,0.318248
2467.5,-1.83378,0.47144,6.50896,0.285873
2482.5,-1.55974,0.49527,6.33371,0.244142
2497.5,-1.36341,0.500334,6.2134,0.223112
2512.5,-1.18425,0.4944,6.18864,0.224394
2527.5,-1.18105,0.47963,6.17726,0.228631
2542.5,-1.39459,0.475372,6.12523,0.236575
2557.5,-1.86928,0.463997,6.07773,0.22251
2572.5,-2.26796,0.441757,6.08472,0.223678
2587.5,-2.54646,0.419059,6.13981,0.247019
2602.5,-2.50441,0.397625,6.2363,0.25793
2617.5,-2.33446,0.389118,6.31831,0.268649
2632.5,-2.12584,0.385033,6.27916,0.253688
2647.5,-1.95191,0.38448,6.22619,0.231945
2662.5,-1.76352,0.380945,6.05163,0.203811
2677.5,-1.54772,0.376446,5.94283,0.181795
2692.5,-1.21378,0.366136,5.87632,0.170867
2707.5,-0.930582,0.35891,5.82258,0.172121
2722.5,-0.701437,0.356696,5.81004,0.175962
2737.5,-0.534849,0.350521,5.7503,0.180138
2752.5,-0.344302,0.350046,5.65887,0.182852
2767.5,-0.266484,0.359172,5.55974,0.175227
2782.5,-0.14666,0.372162,5.53247,0.161453
2797.5,-0.120554,0.395275,5.53749,0.146843
2812.5,-0.251251,0.424849,5.58399,0.142929
2827.5,-0.426425,0.44467,5.65588,0.141626
2842.5,-0.630085,0.465442,5.72646,0.149401
2857.5,-0.686906,0.481601,5.81252,0.166604
2872.5,-0.871702,0.518518,5.89138,0.186831
2887.5,-1.07477,0.575476,5.93797,0.192819
2902.5,-1.01935,0.602483,5.93198,0.190434
2917.5,-0.96314,0.591038,5.83767,0.176158
2932.5,-0.839826,0.558408,5.77739,0.170429
2947.5,-0.769549,0.530824,5.66644,0.170517
2962.5,-0.698667,0.512022,5.57905,0.188475
2977.5,-0.821301,0.540341,5.46983,0.210194
2992.5,-1.11463,0.581143,5.42742,0.249826
3007.5,-1.71095,0.660156,5.41639,0.31023
3022.5,-2.40663,0.714675,5.55565,0.394057
3037.5,-3.07474,0.741655,5.71967,0.434079
3052.5,-3.27439,0.725124,5.9283,0.44612
3067.5,-3.0391,0.700657,6.00602,0.414175
3082.5,-2.66356,0.657136,6.05276,0.357322
3097.5,-2.18949,0.608083,5.98743,0.306633
3112.5,-1.96889,0.548188,5.9167,0.254127
3127.5,-1.83043,0.485635,5.83315,0.21454
3142.5,-1.61848,0.436444,5.77181,0.185658
3157.5,-1.55514,0.41982,5.7301,0.172668
3172.5,-1.48788,0.429463,5.71807,0.178795
3187.5,-1.49313,0.457365,5.79236,0.195727
3202.5,-1.52204,0.485274,5.89079,0.224936
3217.5,-1.54594,0.509567,5.97597,0.258616
3232.5,-1.61098,0.507024,6.10071,0.26775
3247.5,-1.58869,0.504132,6.15216,0.270048
3262.5,-1.62477,0.485918,6.25147,0.266189
3277.5,-1.54033,0.478342,6.33293,0.271785
3292.5,-1.57799,0.471333,6.39812,0.254189
3307.5,-1.65227,0.485923,6.35028,0.22863
3322.5,-1.85006,0.495112,6.28868,0.198058
3337.5,-2.25844,0.531492,6.22219,0.169103
3352.5,-2.7535,0.555434,6.1478,0.14579
3367.5,-3.30391,0.575888,6.11065,0.129533
3382.5,-3.6471,0.579346,6.09172,0.117348
3397.5,-3.55689,0.583916,6.0824,0.112193
3412.5,-3.36439,0.578493,6.09572,0.111876
3427.5,-2.87114,0.580479,6.11785,0.114577
3442.5,-2.50342,0.584944,6.12511,0.117378
3457.5,-2.33265,0.594367,6.12094,0.123339
3472.5,-2.21585,0.60288,6.12746,0.131023
3487.5,-2.24094,0.608027,6.09071,0.134965
3502.5,-2.32153,0.635921,6.057,0.135614
3517.5,-2.40643,0.629381,6.05415,0.139132
